,timestamp,Open,High,Low,Close,Volume,ph,pl,pattern_bull,pattern_bear,CHoCH,OHCL
0,2023-10-23 09:15:00,30556.6,30599.1,30468.2,30475.2,4183.715,,,False,False,False,
1,2023-10-23 09:30:00,30475.2,30531.9,30431.0,30493.5,4576.191,,,False,False,False,
2,2023-10-23 09:45:00,30493.6,30493.6,30333.0,30466.9,11604.216,,,False,False,False,
3,2023-10-23 10:00:00,30466.8,30485.2,30455.2,30468.3,2040.619,,,False,False,False,
4,2023-10-23 10:15:00,30468.3,30543.2,30463.0,30509.1,2328.916,,,False,False,False,
5,2023-10-23 10:30:00,30509.0,30543.3,30461.5,30506.1,2228.758,,,False,False,False,
6,2023-10-23 10:45:00,30506.0,30559.3,30506.0,30546.6,2389.56,,,False,False,False,
7,2023-10-23 11:00:00,30546.5,30595.0,30535.4,30547.2,2652.304,,,False,False,False,
8,2023-10-23 11:15:00,30547.1,30638.7,30542.4,30628.6,3671.048,,,False,False,False,
9,2023-10-23 11:30:00,30628.5,30693.9,30597.0,30693.9,4084.906,,,False,False,False,
10,2023-10-23 11:45:00,30693.9,30777.0,30619.0,30644.4,6996.133,30777.0,,False,False,False,
11,2023-10-23 12:00:00,30644.4,30674.8,30605.5,30637.7,3249.561,,,False,False,False,
12,2023-10-23 12:15:00,30637.7,30742.3,30614.9,30672.6,4252.252,,,False,False,False,
13,2023-10-23 12:30:00,30672.6,30686.9,30581.0,30601.5,3636.514,,,False,False,False,
14,2023-10-23 12:45:00,30601.4,30658.0,30569.5,30648.9,2422.557,,,False,False,False,
15,2023-10-23 13:00:00,30648.8,30700.0,30620.0,30669.0,2454.816,,,False,False,False,
16,2023-10-23 13:15:00,30669.1,30681.9,30535.7,30555.7,5277.661,,,False,False,False,
17,2023-10-23 13:30:00,30555.7,30576.0,30378.5,30503.8,12361.521,,30378.5,False,False,False,
18,2023-10-23 13:45:00,30503.7,30618.8,30500.0,30590.8,5232.233,,,False,False,False,
19,2023-10-23 14:00:00,30590.9,30678.0,30572.1,30675.8,3896.216,,,False,False,False,
20,2023-10-23 14:15:00,30675.7,30737.0,30630.2,30637.1,4252.325,,,False,False,False,
21,2023-10-23 14:30:00,30637.1,30725.0,30595.4,30688.5,3817.591,,,False,False,False,
22,2023-10-23 14:45:00,30688.4,30865.3,30673.0,30762.7,11090.905,,,False,False,False,
23,2023-10-23 15:00:00,30762.7,30884.5,30740.2,30875.4,6596.904,,,False,False,False,
24,2023-10-23 15:15:00,30875.3,30919.5,30754.6,30821.1,7332.787,,,False,False,False,
25,2023-10-23 15:30:00,30821.0,30900.0,30769.7,30848.4,5263.989,,,False,False,False,
26,2023-10-23 15:45:00,30848.4,30963.2,30818.1,30864.1,8523.831,,,False,False,False,
27,2023-10-23 16:00:00,30864.1,30974.9,30825.2,30890.0,7122.491,,,False,False,False,
28,2023-10-23 16:15:00,30889.9,30996.8,30784.8,30793.0,11859.984,,,False,False,False,
29,2023-10-23 16:30:00,30792.9,31089.6,30767.6,31002.5,23180.208,,,False,False,False,
30,2023-10-23 16:45:00,31002.5,31283.4,30955.3,31197.5,25770.471,,,False,False,False,
31,2023-10-23 17:00:00,31197.5,31300.0,31067.1,31158.9,16694.416,31300.0,,False,False,False,
32,2023-10-23 17:15:00,31158.9,31167.0,30800.0,30875.8,19089.028,,,False,False,False,
33,2023-10-23 17:30:00,30875.7,31067.3,30810.9,30991.8,11231.98,,,False,False,False,
34,2023-10-23 17:45:00,30991.7,31082.0,30933.7,30964.0,6267.12,,,False,False,False,
35,2023-10-23 18:00:00,30964.1,31096.5,30955.7,31093.1,4029.174,,,False,False,False,
36,2023-10-23 18:15:00,31093.0,31096.0,30955.2,30970.4,3108.128,,,False,False,False,
37,2023-10-23 18:30:00,30970.5,30992.0,30356.3,30821.9,14275.719,,30356.3,False,False,False,
38,2023-10-23 18:45:00,30821.9,31171.0,30732.8,31156.5,26850.262,,,False,False,False,
39,2023-10-23 19:00:00,31156.5,31378.8,31151.7,31246.0,19081.994,,,False,False,False,
40,2023-10-23 19:15:00,31245.9,31248.1,31060.0,31153.1,7980.518,,,False,False,False,
41,2023-10-23 19:30:00,31153.2,31282.1,31085.0,31242.0,5951.748,,,False,False,False,
42,2023-10-23 19:45:00,31242.0,31430.9,31223.4,31339.9,11557.245,,,False,False,False,
43,2023-10-23 20:00:00,31340.3,31474.3,31302.2,31444.9,10912.78,,,False,False,False,
44,2023-10-23 20:15:00,31444.9,31739.5,31435.5,31588.7,27034.297,,,False,False,False,
45,2023-10-23 20:30:00,31588.6,31829.0,31588.3,31684.2,15651.808,31829.0,,False,False,False,
46,2023-10-23 20:45:00,31684.2,31739.0,31480.6,31511.5,13747.449,,,False,False,False,
47,2023-10-23 21:00:00,31511.5,31609.6,31415.0,31459.7,7561.723,,,False,False,False,
48,2023-10-23 21:15:00,31459.8,31585.1,31405.6,31537.0,5191.043,,,False,False,False,
49,2023-10-23 21:30:00,31536.9,31646.3,31530.9,31598.5,3476.478,,,False,False,False,
50,2023-10-23 21:45:00,31598.5,31628.0,31552.1,31618.7,2034.584,,,False,False,False,
51,2023-10-23 22:00:00,31618.7,31924.9,31576.5,31877.5,12137.871,,,False,False,False,
52,2023-10-23 22:15:00,31877.5,32200.0,31801.0,32179.2,25214.965,,,False,False,False,
53,2023-10-23 22:30:00,32179.2,35981.9,32015.0,34021.5,101237.102,35981.9,,False,False,False,
54,2023-10-23 22:45:00,34021.5,34272.9,32904.5,33358.8,63974.0,,,False,False,False,
55,2023-10-23 23:00:00,33358.8,33615.0,32521.0,32911.2,35596.727,,,False,False,False,
56,2023-10-23 23:15:00,32911.3,33299.9,32864.4,33089.9,24265.754,,,False,False,False,
57,2023-10-23 23:30:00,33089.6,33149.9,32602.9,32777.7,20160.997,,,False,False,False,
58,2023-10-23 23:45:00,32777.8,33118.5,32760.0,33074.0,9751.523,,,False,False,False,
59,2023-10-24 00:00:00,33074.0,33131.1,32833.5,32982.1,11238.588,,,False,False,False,
60,2023-10-24 00:15:00,32982.1,33368.4,32916.5,33332.0,15146.01,,,False,False,False,
61,2023-10-24 00:30:00,33332.0,33638.0,33282.0,33543.7,17277.68,,,False,False,False,
62,2023-10-24 00:45:00,33543.8,33750.0,33472.4,33504.4,16365.726,,,False,False,False,
63,2023-10-24 01:00:00,33504.4,33740.8,33456.9,33598.1,12833.309,,,False,False,False,
64,2023-10-24 01:15:00,33598.3,33864.0,33563.6,33629.8,13368.463,,,False,False,False,
65,2023-10-24 01:30:00,33629.8,33821.1,33530.6,33795.7,9248.302,,,False,False,False,
66,2023-10-24 01:45:00,33795.8,34200.0,33785.8,34182.3,18683.356,,,False,False,False,
67,2023-10-24 02:00:00,34182.2,34671.0,34110.0,34441.4,31106.634,,,False,False,False,
68,2023-10-24 02:15:00,34441.3,35300.0,34415.3,34789.2,46650.128,35300.0,,False,False,False,
69,2023-10-24 02:30:00,34790.5,34960.0,34511.0,34740.9,24253.573,,,False,False,False,
70,2023-10-24 02:45:00,34740.9,34920.2,34559.0,34566.1,14790.697,,,False,False,False,
71,2023-10-24 03:00:00,34566.0,34728.0,34444.8,34676.8,12417.523,,,False,False,False,
72,2023-10-24 03:15:00,34676.8,34693.0,34550.0,34624.2,6879.28,,,False,False,False,
73,2023-10-24 03:30:00,34624.2,34688.0,34451.7,34481.3,14528.231,,,False,False,False,
74,2023-10-24 03:45:00,34481.3,34503.2,34040.0,34071.1,16487.902,,34040.0,False,False,False,
75,2023-10-24 04:00:00,34071.1,34373.6,34048.7,34332.2,10156.69,,,False,False,False,
